Date,Type,Venue,Location,Postcode,Players signed up,Players at last set champ,Travel time,Route link,Event link,Last set champ link,Price,Created
2026-09-05,Attack of the Vines,Harlequins Preston,"52 Manchester Road, Lancashire, England, PR1 3YH, GB",PR1 3YH,0,15,4h 35m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=52%20Manchester%20Road%2C%20Lancashire%2C%20England%2C%20PR1%203YH%2C%20GB,https://tcg.ravensburgerplay.com/events/720602,https://tcg.ravensburgerplay.com/events/595105,£12.50,2026-07-10T21:41:41.519827
2026-09-05,Attack of the Vines,Gamepark,"2 Northgate Street, 2 Northgate Street, ABERYSTWYTH, Wales, SY23 2JS, GB",SY23 2JS,0,8,5h 17m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=2%20Northgate%20Street%2C%202%20Northgate%20Street%2C%20ABERYSTWYTH%2C%20Wales%2C%20SY23%202JS%2C%20GB,https://tcg.ravensburgerplay.com/events/711477,https://tcg.ravensburgerplay.com/events/627848,£0.00,2026-07-10T21:41:43.903561
2026-09-05,Attack of the Vines,Roll The Dice Cornwall C.I.C.,"8 Coinagehall St, Helston, England, TR13 8EB, GB",TR13 8EB,10,14,5h 56m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=8%20Coinagehall%20St%2C%20Helston%2C%20England%2C%20TR13%208EB%2C%20GB,https://tcg.ravensburgerplay.com/events/736690,https://tcg.ravensburgerplay.com/events/487405,£15.00,2026-07-10T21:41:40.944496
2026-09-05,Attack of the Vines,AJ-TCG Carlisle,"3 Earls Lane, Carlisle, CA38DG, GB",CA38DG,1,N/A,6h 4m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=3%20Earls%20Lane%2C%20Carlisle%2C%20CA38DG%2C%20GB,https://tcg.ravensburgerplay.com/events/720796,,£15.00,2026-07-10T21:41:41.980207
2026-09-05,Attack of the Vines,Merchants' Guild,"50 Albion St, G1 1LH, Glasgow, Scotland, G1 1LH, GB",G1 1LH,0,16,7h 46m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=50%20Albion%20St%2C%20G1%201LH%2C%20Glasgow%2C%20Scotland%2C%20G1%201LH%2C%20GB,https://tcg.ravensburgerplay.com/events/726823,https://tcg.ravensburgerplay.com/events/579998,£22.00,2026-07-10T21:41:44.348259
2026-09-05,Attack of the Vines,Nerdvana Livingston,"Unit 11 Grampian Court, Beveridge Square, Dedridge, Livingston, Scotland, EH54 6QF, GB",EH54 6QF,0,16,7h 48m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=Unit%2011%20Grampian%20Court%2C%20Beveridge%20Square%2C%20Dedridge%2C%20Livingston%2C%20Scotland%2C%20EH54%206QF%2C%20GB,https://tcg.ravensburgerplay.com/events/712119,https://tcg.ravensburgerplay.com/events/625018,£20.00,2026-07-10T21:41:40.405520
2026-09-05,Attack of the Vines,Highlander Games Ltd,"102 Annfield Road, 102, Dundee, Scotland, DD1 5JH, GB",DD1 5JH,0,15,9h 1m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=102%20Annfield%20Road%2C%20102%2C%20Dundee%2C%20Scotland%2C%20DD1%205JH%2C%20GB,https://tcg.ravensburgerplay.com/events/714348,https://tcg.ravensburgerplay.com/events/604450,£15.00,2026-07-10T21:41:42.969659
2026-09-05,Attack of the Vines,Northern Card Gaming,"142 Frances Street, Ards and North Down, Newtownards, Northern Ireland, BT23 7DY, GB",BT23 7DY,1,17,11h 19m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=142%20Frances%20Street%2C%20Ards%20and%20North%20Down%2C%20Newtownards%2C%20Northern%20Ireland%2C%20BT23%207DY%2C%20GB,https://tcg.ravensburgerplay.com/events/775072,https://tcg.ravensburgerplay.com/events/490063,£25.00,2026-07-16T13:31:29.297477
2026-09-05,Attack of the Vines,Replay,"97 High Street, Bangor, Northern Ireland, bt20 5bd, GB",BT20 5BD,1,13,11h 26m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=97%20High%20Street%2C%20Bangor%2C%20Northern%20Ireland%2C%20bt20%205bd%2C%20GB,https://tcg.ravensburgerplay.com/events/720059,https://tcg.ravensburgerplay.com/events/567716,£20.00,2026-07-10T21:41:42.513316
2026-09-05,Attack of the Vines,Puca Puca Games,"11 Great James Street, Derry and Strabane, Northern Ireland, BT48 7BZ, GB",BT48 7BZ,0,12,N/A,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=11%20Great%20James%20Street%2C%20Derry%20and%20Strabane%2C%20Northern%20Ireland%2C%20BT48%207BZ%2C%20GB,https://tcg.ravensburgerplay.com/events/750207,https://tcg.ravensburgerplay.com/events/485664,£20.00,2026-07-10T21:41:38.688149
2026-09-05,Attack of the Vines,Forbidden Planet International,"28, St Peters St, Derby, England, DE1 1SL, GB",DE1 1SL,0,8,N/A,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=28%2C%20St%20Peters%20St%2C%20Derby%2C%20England%2C%20DE1%201SL%2C%20GB,https://tcg.ravensburgerplay.com/events/777859,https://tcg.ravensburgerplay.com/events/607627,£10.00,2026-07-17T13:52:24.191873

2026-09-06,Attack of the Vines,Funky Frog,"15, Orwell Pl, Ipswich, England, IP4 1BD, GB",IP4 1BD,4,16,1h 31m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=15%2C%20Orwell%20Pl%2C%20Ipswich%2C%20England%2C%20IP4%201BD%2C%20GB,https://tcg.ravensburgerplay.com/events/712080,https://tcg.ravensburgerplay.com/events/607372,£15.00,2026-07-10T21:41:44.828722
2026-09-06,Attack of the Vines,Mystic Games Ltd,"Woolgate Shopping Centre, unit 11 , Witney, England, OX286AP, GB",OX286AP,0,16,2h 12m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=Woolgate%20Shopping%20Centre%2C%20unit%2011%20%2C%20Witney%2C%20England%2C%20OX286AP%2C%20GB,https://tcg.ravensburgerplay.com/events/733563,https://tcg.ravensburgerplay.com/events/583482,£16.00,2026-07-10T21:41:46.830888
2026-09-06,Attack of the Vines,Manaleak.com,"unit 109, 130, Pershore St, Birmingham, England, B5 6RY, GB",B5 6RY,16,14,2h 49m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=unit%20109%2C%20130%2C%20Pershore%20St%2C%20Birmingham%2C%20England%2C%20B5%206RY%2C%20GB,https://tcg.ravensburgerplay.com/events/736593,https://tcg.ravensburgerplay.com/events/609345,£16.00,2026-07-10T21:41:46.215745
2026-09-06,Attack of the Vines,Bristol Independent Gaming Ltd,"11 Cater Road, BRISTOL, England, BS13 7TW, GB",BS13 7TW,0,8,3h 6m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=11%20Cater%20Road%2C%20BRISTOL%2C%20England%2C%20BS13%207TW%2C%20GB,https://tcg.ravensburgerplay.com/events/714953,https://tcg.ravensburgerplay.com/events/604482,£0.00,2026-07-10T21:41:45.765549
2026-09-06,Attack of the Vines,Geek Retreat Sunderland,"2 John Street, Sunniside, England, SR1 1DX, GB",SR1 1DX,0,16,5h 23m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=2%20John%20Street%2C%20Sunniside%2C%20England%2C%20SR1%201DX%2C%20GB,https://tcg.ravensburgerplay.com/events/712095,https://tcg.ravensburgerplay.com/events/580484,£7.00,2026-07-10T21:41:45.306380

2026-09-12,Attack of the Vines,Geek Retreat Chelmsford,"48 Townfield Street, Chelmsford, England, CM1 1AQ, GB",CM1 1AQ,0,25,45m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=48%20Townfield%20Street%2C%20Chelmsford%2C%20England%2C%20CM1%201AQ%2C%20GB,https://tcg.ravensburgerplay.com/events/714582,https://tcg.ravensburgerplay.com/events/492393,£0.00,2026-07-10T21:41:48.242139
2026-09-12,Attack of the Vines,Triple Helix Wargames,"Cory Way, Unit 10, Westbury, England, BA13 4QT, GB",BA13 4QT,0,12,2h 47m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=Cory%20Way%2C%20Unit%2010%2C%20Westbury%2C%20England%2C%20BA13%204QT%2C%20GB,https://tcg.ravensburgerplay.com/events/722585,https://tcg.ravensburgerplay.com/events/494363,£15.00,2026-07-10T21:41:47.291848
2026-09-12,Attack of the Vines,Norton TCG,"84b High Street, Midsomer Norton, England, BA3 2DE, GB",BA3 2DE,0,13,3h 2m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=84b%20High%20Street%2C%20Midsomer%20Norton%2C%20England%2C%20BA3%202DE%2C%20GB,https://tcg.ravensburgerplay.com/events/742425,https://tcg.ravensburgerplay.com/events/493412,£10.00,2026-07-10T21:41:48.684270
2026-09-12,Attack of the Vines,Firestorm Games Merthyr,"129 High Street, Merthyr Tydfil, Wales, CF47 8DN, GB",CF47 8DN,0,15,3h 56m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=129%20High%20Street%2C%20Merthyr%20Tydfil%2C%20Wales%2C%20CF47%208DN%2C%20GB,https://tcg.ravensburgerplay.com/events/711420,https://tcg.ravensburgerplay.com/events/594716,£17.00,2026-07-10T21:41:47.786059
2026-09-12,Attack of the Vines,Tokyotoys Glasgow,"27 Union Street, Tokyotoys, Glasgow, Scotland, G1 3RB, GB",G1 3RB,0,14,7h 49m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=27%20Union%20Street%2C%20Tokyotoys%2C%20Glasgow%2C%20Scotland%2C%20G1%203RB%2C%20GB,https://tcg.ravensburgerplay.com/events/738992,https://tcg.ravensburgerplay.com/events/480389,£30.00,2026-07-10T21:41:49.150335

2026-09-13,Attack of the Vines,Ink & Coal Games Ltd,"Former St Anne's Memorial, Porth, CF39 0ET, GB",CF39 0ET,0,N/A,3h 52m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=Former%20St%20Anne%27s%20Memorial%2C%20Porth%2C%20CF39%200ET%2C%20GB,https://tcg.ravensburgerplay.com/events/758557,,£10.00,2026-07-10T21:41:49.600497
2026-09-13,Attack of the Vines,Geek Retreat Harrogate,"30 Oxford Street, 30 Oxford Street, HARROGATE, England, HG1 1PP, GB",HG1 1PP,0,8,4h 17m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=30%20Oxford%20Street%2C%2030%20Oxford%20Street%2C%20HARROGATE%2C%20England%2C%20HG1%201PP%2C%20GB,https://tcg.ravensburgerplay.com/events/754995,https://tcg.ravensburgerplay.com/events/307226,£20.00,2026-07-10T21:41:51.708240
2026-09-13,Attack of the Vines,Total Cards,"6 Maple Way, City Missing, England, DL5 6BF, GB",DL5 6BF,0,N/A,4h 55m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=6%20Maple%20Way%2C%20City%20Missing%2C%20England%2C%20DL5%206BF%2C%20GB,https://tcg.ravensburgerplay.com/events/742965,,£14.95,2026-07-10T21:41:50.595289
2026-09-13,Attack of the Vines,Geeks of the Galaxy,"51, Cheapside, Spennymoor, England, DL16 6QF, GB",DL16 6QF,3,16,5h 7m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=51%2C%20Cheapside%2C%20Spennymoor%2C%20England%2C%20DL16%206QF%2C%20GB,https://tcg.ravensburgerplay.com/events/767435,https://tcg.ravensburgerplay.com/events/474277,£25.00,2026-07-13T09:25:35.886344
2026-09-13,Attack of the Vines,Happy Piranha / Piranha Cafe,"18, Pydar St, Truro, England, TR1 2AY, GB",TR1 2AY,10,13,5h 32m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=18%2C%20Pydar%20St%2C%20Truro%2C%20England%2C%20TR1%202AY%2C%20GB,https://tcg.ravensburgerplay.com/events/757851,https://tcg.ravensburgerplay.com/events/585948,£10.00,2026-07-10T21:41:50.069229
2026-09-13,Attack of the Vines,Red October Games,"Main Rd, Stocksfield, England, NE43 7BW, GB",NE43 7BW,0,15,5h 42m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=Main%20Rd%2C%20Stocksfield%2C%20England%2C%20NE43%207BW%2C%20GB,https://tcg.ravensburgerplay.com/events/772377,https://tcg.ravensburgerplay.com/events/495018,£0.00,2026-07-15T10:08:59.096544
2026-09-13,Attack of the Vines,Thistle Tavern Games Hub Edinburgh,"79, Shandwick Pl, Edinburgh, Scotland, EH2 4SD, GB",EH2 4SD,5,11,8h 0m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=79%2C%20Shandwick%20Pl%2C%20Edinburgh%2C%20Scotland%2C%20EH2%204SD%2C%20GB,https://tcg.ravensburgerplay.com/events/727203,https://tcg.ravensburgerplay.com/events/727567,£10.00,2026-07-10T21:41:51.106271

2026-09-18,Attack of the Vines,GlobalGaming Arena,"City Center, 15 Shaw's Passage, West Midlands, England, B5 5JG, GB",B5 5JG,8,15,2h 49m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=City%20Center%2C%2015%20Shaw%27s%20Passage%2C%20West%20Midlands%2C%20England%2C%20B5%205JG%2C%20GB,https://tcg.ravensburgerplay.com/events/709831,https://tcg.ravensburgerplay.com/events/484804,£20.00,2026-07-10T21:41:52.183301

2026-09-19,Attack of the Vines,The Other Games,"Blue Post House, 128, Newland St, Witham, England, CM8 1BA, GB",CM8 1BA,9,15,54m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=Blue%20Post%20House%2C%20128%2C%20Newland%20St%2C%20Witham%2C%20England%2C%20CM8%201BA%2C%20GB,https://tcg.ravensburgerplay.com/events/769890,https://tcg.ravensburgerplay.com/events/486789,£15.00,2026-07-14T12:48:09.355375
2026-09-19,Attack of the Vines,Dice Saloon Ltd,"88 London Road, Brighton, England, BN1 4JF, GB",BN1 4JF,0,13,1h 17m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=88%20London%20Road%2C%20Brighton%2C%20England%2C%20BN1%204JF%2C%20GB,https://tcg.ravensburgerplay.com/events/739324,https://tcg.ravensburgerplay.com/events/547466,£13.50,2026-07-10T21:41:52.741901
2026-09-19,Attack of the Vines,Collecteebles,"28a, Chantry Centre, Andover, England, SP10 1LS, GB",SP10 1LS,0,13,1h 53m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=28a%2C%20Chantry%20Centre%2C%20Andover%2C%20England%2C%20SP10%201LS%2C%20GB,https://tcg.ravensburgerplay.com/events/765440,https://tcg.ravensburgerplay.com/events/638278,£15.00,2026-07-12T12:02:15.115131
2026-09-19,Attack of the Vines,Geek Retreat Birmingham,"18 Hall Street, Birmingham, England, B18 6BS, GB",B18 6BS,20,11,2h 47m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=18%20Hall%20Street%2C%20Birmingham%2C%20England%2C%20B18%206BS%2C%20GB,https://tcg.ravensburgerplay.com/events/760903,https://tcg.ravensburgerplay.com/events/685914,£12.00,2026-07-10T21:41:54.135594
2026-09-19,Attack of the Vines,Last Stand Games,"47, Market Pl, South Cave, England, HU15 2BS, GB",HU15 2BS,0,12,3h 59m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=47%2C%20Market%20Pl%2C%20South%20Cave%2C%20England%2C%20HU15%202BS%2C%20GB,https://tcg.ravensburgerplay.com/events/747572,https://tcg.ravensburgerplay.com/events/634634,£15.00,2026-07-10T21:41:55.357284
2026-09-19,Attack of the Vines,Fan Boy Three,"25 Hilton Street, Greater Manchester, England, M1 1EL, GB",M1 1EL,0,25,4h 22m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=25%20Hilton%20Street%2C%20Greater%20Manchester%2C%20England%2C%20M1%201EL%2C%20GB,https://tcg.ravensburgerplay.com/events/733257,https://tcg.ravensburgerplay.com/events/490545,£15.00,2026-07-10T21:41:53.682322
2026-09-19,Attack of the Vines,The Gamers Lodge,"61 Kempston St, Liverpool, England, L3 8ET, GB",L3 8ET,0,17,4h 28m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=61%20Kempston%20St%2C%20Liverpool%2C%20England%2C%20L3%208ET%2C%20GB,https://tcg.ravensburgerplay.com/events/736725,https://tcg.ravensburgerplay.com/events/568392,£25.00,2026-07-10T21:41:54.841605
2026-09-19,Attack of the Vines,Geek Retreat Hartlepool,"105 York Road, Hartlepool, England, TS26 9DH, GB",TS26 9DH,0,12,5h 9m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=105%20York%20Road%2C%20Hartlepool%2C%20England%2C%20TS26%209DH%2C%20GB,https://tcg.ravensburgerplay.com/events/745396,https://tcg.ravensburgerplay.com/events/628556,£10.00,2026-07-10T21:41:53.221007
2026-09-19,Attack of the Vines,Misfit Hobbies Coleraine,"22, Railway Rd, Coleraine, Northern Ireland, BT52 1PE, GB",BT52 1PE,11,14,12h 6m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=22%2C%20Railway%20Rd%2C%20Coleraine%2C%20Northern%20Ireland%2C%20BT52%201PE%2C%20GB,https://tcg.ravensburgerplay.com/events/775042,https://tcg.ravensburgerplay.com/events/469086,£15.00,2026-07-16T10:30:14.025141

2026-09-20,Attack of the Vines,The Games Shop,"6 Wellington Street, Aldershot, England, GU11 1DZ, GB",GU11 1DZ,0,16,1h 18m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=6%20Wellington%20Street%2C%20Aldershot%2C%20England%2C%20GU11%201DZ%2C%20GB,https://tcg.ravensburgerplay.com/events/714590,https://tcg.ravensburgerplay.com/events/580542,£15.00,2026-07-10T21:41:57.618283
2026-09-20,Attack of the Vines,Geek Retreat Northampton,"Weedon Road Industrial Estate, Tyne Rd, Northampton, England, NN5 5AF, GB",NN5 5AF,1,10,1h 53m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=Weedon%20Road%20Industrial%20Estate%2C%20Tyne%20Rd%2C%20Northampton%2C%20England%2C%20NN5%205AF%2C%20GB,https://tcg.ravensburgerplay.com/events/719856,https://tcg.ravensburgerplay.com/events/607430,£15.00,2026-07-10T21:41:58.082889
2026-09-20,Attack of the Vines,Black Dragon Games Ltd,"17 Burton Street, Melton Mowbray, England, le13 1ae, GB",LE13 1AE,0,28,2h 39m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=17%20Burton%20Street%2C%20Melton%20Mowbray%2C%20England%2C%20le13%201ae%2C%20GB,https://tcg.ravensburgerplay.com/events/778753,https://tcg.ravensburgerplay.com/events/483955,£17.99,2026-07-18T01:53:11.664684
2026-09-20,Attack of the Vines,Game Guru (Touchwood),"Unit SU52, Touchwood Shopping Centre, 25 Jubilee Walk, Solihull, B91 3HT, GB",B91 3HT,16,15,2h 42m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=Unit%20SU52%2C%20Touchwood%20Shopping%20Centre%2C%2025%20Jubilee%20Walk%2C%20Solihull%2C%20B91%203HT%2C%20GB,https://tcg.ravensburgerplay.com/events/747217,https://tcg.ravensburgerplay.com/events/675379,£20.00,2026-07-10T21:41:58.587893
2026-09-20,Attack of the Vines,Bath TCG,"4, Victoria Buildings, Lower Bristol Rd, Bath, England, BA2 3EH, GB",BA2 3EH,0,15,2h 58m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=4%2C%20Victoria%20Buildings%2C%20Lower%20Bristol%20Rd%2C%20Bath%2C%20England%2C%20BA2%203EH%2C%20GB,https://tcg.ravensburgerplay.com/events/742399,https://tcg.ravensburgerplay.com/events/543401,£10.00,2026-07-10T21:41:57.076881
2026-09-20,Attack of the Vines,Top Dog Gaming,"Kinver Street, Shop 3, Wordsley, England, DY8 5AA, GB",DY8 5AA,12,21,3h 8m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=Kinver%20Street%2C%20Shop%203%2C%20Wordsley%2C%20England%2C%20DY8%205AA%2C%20GB,https://tcg.ravensburgerplay.com/events/752067,https://tcg.ravensburgerplay.com/events/546987,£15.00,2026-07-10T21:41:56.409213
2026-09-20,Attack of the Vines,Bridge Troll Boardgame Café,"10A Angel Hill, Tiverton, England, ex16 6pe, GB",EX16 6PE,7,8,3h 50m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=10A%20Angel%20Hill%2C%20Tiverton%2C%20England%2C%20ex16%206pe%2C%20GB,https://tcg.ravensburgerplay.com/events/752146,https://tcg.ravensburgerplay.com/events/659586,£20.00,2026-07-10T21:41:55.842334
2026-09-20,Attack of the Vines,Gemini Games,"16 High Street, Huddersfield, England, hd1 2le, GB",HD1 2LE,0,14,4h 14m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=16%20High%20Street%2C%20Huddersfield%2C%20England%2C%20hd1%202le%2C%20GB,https://tcg.ravensburgerplay.com/events/765410,https://tcg.ravensburgerplay.com/events/605041,£15.00,2026-07-12T12:02:21.466968

2026-09-26,Attack of the Vines,Players Paradice,"19, St John's Terrace, Newport Pagnell, England, MK16 8HE, GB",MK16 8HE,0,25,1h 37m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=19%2C%20St%20John%27s%20Terrace%2C%20Newport%20Pagnell%2C%20England%2C%20MK16%208HE%2C%20GB,https://tcg.ravensburgerplay.com/events/739218,https://tcg.ravensburgerplay.com/events/594455,£15.00,2026-07-10T21:41:59.823030
2026-09-26,Attack of the Vines,Angle Gaming Lounge,"939 Lincoln Road, Peterborough, England, pe4 6af, GB",PE4 6AF,1,8,2h 4m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=939%20Lincoln%20Road%2C%20Peterborough%2C%20England%2C%20pe4%206af%2C%20GB,https://tcg.ravensburgerplay.com/events/720040,https://tcg.ravensburgerplay.com/events/483033,£10.00,2026-07-10T21:42:02.282179
2026-09-26,Attack of the Vines,Entoyment Hobby and Games Centre,"27-29 Harwell Road, Nuffield Industrial Estate, Poole, Dorset, BH17 0GE, GB",BH17 0GE,2,16,2h 39m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=27-29%20Harwell%20Road%2C%20Nuffield%20Industrial%20Estate%2C%20Poole%2C%20Dorset%2C%20BH17%200GE%2C%20GB,https://tcg.ravensburgerplay.com/events/713935,https://tcg.ravensburgerplay.com/events/517524,£15.00,2026-07-10T21:41:59.275124
2026-09-26,Attack of the Vines,Dice Pit,"unit 1, maritime buildings, Woodland Terrace, Maesycoed, Pontypridd, CF48 4SP, UK, Pontypridd, UK, CF48 4SP, UK",CF48 4SP,1,N/A,3h 55m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=unit%201%2C%20maritime%20buildings%2C%20Woodland%20Terrace%2C%20Maesycoed%2C%20Pontypridd%2C%20CF48%204SP%2C%20UK%2C%20Pontypridd%2C%20UK%2C%20CF48%204SP%2C%20UK,https://tcg.ravensburgerplay.com/events/767968,,£17.00,2026-07-13T18:36:16.081341
2026-09-26,Attack of the Vines,Lazy Dragon Gaming,"231, Dickson Rd, Blackpool, England, FY1 2JH, GB",FY1 2JH,6,18,5h 1m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=231%2C%20Dickson%20Rd%2C%20Blackpool%2C%20England%2C%20FY1%202JH%2C%20GB,https://tcg.ravensburgerplay.com/events/733284,https://tcg.ravensburgerplay.com/events/487790,£0.00,2026-07-10T21:42:01.690970
2026-09-26,Attack of the Vines,Mad for Miniatures Ltd,"Market Hill, St Austell, England, PL25 5QB, GB",PL25 5QB,11,27,5h 22m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=Market%20Hill%2C%20St%20Austell%2C%20England%2C%20PL25%205QB%2C%20GB,https://tcg.ravensburgerplay.com/events/755349,https://tcg.ravensburgerplay.com/events/577826,£10.00,2026-07-10T21:42:00.882018
2026-09-26,Attack of the Vines,Troll Trader Truro,"The Leats, The Leats, Truro, England, TR1 3AG, GB",TR1 3AG,8,8,5h 33m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=The%20Leats%2C%20The%20Leats%2C%20Truro%2C%20England%2C%20TR1%203AG%2C%20GB,https://tcg.ravensburgerplay.com/events/720054,https://tcg.ravensburgerplay.com/events/363487,£15.00,2026-07-10T21:42:00.314321

2026-09-27,Attack of the Vines,Nerd Base,"Knightswick Road, Canvey Island, England, SS8 7AD, GB",SS8 7AD,0,14,43m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=Knightswick%20Road%2C%20Canvey%20Island%2C%20England%2C%20SS8%207AD%2C%20GB,https://tcg.ravensburgerplay.com/events/742088,https://tcg.ravensburgerplay.com/events/567507,£0.00,2026-07-10T21:42:02.776017
2026-09-27,Attack of the Vines,Wargames Workshop MK,"18 Winchester Circle, Milton Keynes, Milton Keynes, England, MK10 0BA, GB",MK10 0BA,0,20,1h 33m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=18%20Winchester%20Circle%2C%20Milton%20Keynes%2C%20Milton%20Keynes%2C%20England%2C%20MK10%200BA%2C%20GB,https://tcg.ravensburgerplay.com/events/739220,https://tcg.ravensburgerplay.com/events/594480,£15.00,2026-07-10T21:42:03.304707
2026-09-27,Attack of the Vines,Game Guru (Utilita Arena),"King Edwards Rd, Birmingham, England, B1 2AA, GB",B1 2AA,16,16,2h 49m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=King%20Edwards%20Rd%2C%20Birmingham%2C%20England%2C%20B1%202AA%2C%20GB,https://tcg.ravensburgerplay.com/events/709844,https://tcg.ravensburgerplay.com/events/585900,£20.00,2026-07-10T21:42:04.976502
2026-09-27,Attack of the Vines,Geek Retreat Dudley,"195 High Street, Dudley, West Midlands, DY1 1QE, GB",DY1 1QE,11,15,3h 0m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=195%20High%20Street%2C%20Dudley%2C%20West%20Midlands%2C%20DY1%201QE%2C%20GB,https://tcg.ravensburgerplay.com/events/760826,https://tcg.ravensburgerplay.com/events/609862,£7.00,2026-07-10T21:42:04.271264
2026-09-27,Attack of the Vines,JustPlay,"61 Tithebarn Street, Liverpool, England, L2 2SB, GB",L2 2SB,2,10,4h 31m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=61%20Tithebarn%20Street%2C%20Liverpool%2C%20England%2C%20L2%202SB%2C%20GB,https://tcg.ravensburgerplay.com/events/727161,https://tcg.ravensburgerplay.com/events/607425,£19.00,2026-07-10T21:42:03.751705
